YMD,Max_Temperature,Min_Temperature,Avg_Temperature,Avg_Humidity,Rainfall
2012-01-01,19.5,12.1,15.8,63.0,0.0
2012-01-02,20.0,13.0,16.0,59.0,0.0
2012-01-03,18.7,14.2,15.8,72.0,0.0
2012-01-04,14.9,9.3,10.9,62.0,0.0
2012-01-05,9.2,5.1,6.9,78.0,2.9
2012-01-06,11.0,6.3,8.2,92.0,3.3
2012-01-07,12.4,9.4,10.5,80.0,0.0
2012-01-08,16.6,9.9,12.2,75.0,0.0
2012-01-09,17.3,9.4,12.4,75.0,0.0
2012-01-10,17.1,9.4,13.2,73.0,0.0
2012-01-11,16.7,11.6,14.5,68.0,0.4
2012-01-12,14.8,11.8,13.1,72.0,1.8
2012-01-13,16.1,11.4,13.3,88.0,1.0
2012-01-14,19.2,13.9,15.8,90.0,2.2
2012-01-15,16.5,13.2,15.0,99.0,14.4
2012-01-16,15.3,12.0,13.4,90.0,9.5
2012-01-17,17.7,10.8,13.5,74.0,0.0
2012-01-18,24.1,13.0,16.9,74.0,0.0
2012-01-19,23.6,16.5,19.2,85.0,0.0
2012-01-20,18.5,15.5,16.4,86.0,0.0
2012-01-21,16.1,13.8,14.7,90.0,0.0
2012-01-22,13.6,7.4,9.7,93.0,2.5
2012-01-23,8.9,5.2,7.0,87.0,7.5
2012-01-24,8.0,6.0,6.7,90.0,1.9
2012-01-25,7.3,4.5,6.1,77.0,1.3
2012-01-26,7.7,4.5,6.1,86.0,0.8
2012-01-27,11.4,7.0,8.7,93.0,0.0
2012-01-28,20.2,10.6,13.8,90.0,0.1
2012-01-29,15.4,10.9,12.8,82.0,0.0
2012-01-30,17.9,11.8,13.8,67.0,0.0
2012-01-31,17.5,11.1,13.7,57.0,0.0
2012-02-01,18.0,6.5,12.0,67.0,0.0
2012-02-02,15.0,10.2,12.6,68.0,0.0
2012-02-03,10.3,7.1,8.6,76.0,1.7
2012-02-04,15.0,8.2,10.7,75.0,0.0
2012-02-05,18.9,12.1,14.8,79.0,0.1
2012-02-06,25.6,14.9,18.5,81.0,0.0
2012-02-07,20.5,9.6,12.6,69.0,11.0
2012-02-08,11.1,6.8,9.0,59.0,0.2
2012-02-09,12.4,5.0,7.9,61.0,0.1
2012-02-10,10.8,6.3,9.0,79.0,0.1
2012-02-11,9.8,5.2,7.0,72.0,0.0
2012-02-12,13.1,6.6,9.2,79.0,0.0
2012-02-13,26.6,10.2,16.6,71.0,0.0
2012-02-14,25.2,17.0,20.2,78.0,0.0
2012-02-15,27.5,19.5,22.1,80.0,0.1
2012-02-16,21.1,10.4,13.9,64.0,0.0
2012-02-17,14.6,8.9,10.5,57.0,0.0
2012-02-18,15.9,8.0,10.6,52.0,0.0
2012-02-19,16.3,8.1,11.5,47.0,0.0
2012-02-20,18.6,8.7,13.8,59.0,0.0
2012-02-21,24.0,14.8,18.2,66.0,0.0
2012-02-22,21.8,17.4,19.3,89.0,11.8
2012-02-23,26.4,19.7,22.1,86.0,0.0
2012-02-24,24.2,15.3,20.8,88.0,7.0
2012-02-25,15.6,9.6,12.7,83.0,12.9
2012-02-26,9.8,6.9,8.2,75.0,2.4
2012-02-27,7.0,5.3,6.0,82.0,1.4
2012-02-28,12.8,5.2,8.2,81.0,32.1
2012-02-29,13.1,9.2,11.0,86.0,7.0
2012-03-01,17.4,12.1,13.9,87.0,0.0
2012-03-02,26.1,15.1,19.1,79.0,0.0
2012-03-03,19.7,13.1,15.8,79.0,0.0
2012-03-04,22.0,15.3,17.7,87.0,1.4
2012-03-05,23.2,18.6,20.4,88.0,0.1
2012-03-06,21.9,18.7,20.0,90.0,1.4
2012-03-07,22.0,12.8,16.5,91.0,31.0
2012-03-08,13.1,11.1,11.9,91.0,18.5
2012-03-09,11.2,9.2,10.3,79.0,1.7
2012-03-10,12.1,7.4,9.6,70.0,0.7
2012-03-11,11.0,8.2,9.3,82.0,8.1
2012-03-12,12.5,9.1,10.7,85.0,4.6
2012-03-13,13.0,10.7,11.5,87.0,2.0
2012-03-14,17.3,11.3,13.6,85.0,0.5
2012-03-15,23.6,14.4,17.5,84.0,0.8
2012-03-16,25.8,17.7,20.3,85.0,0.0
2012-03-17,28.4,19.4,22.8,80.0,0.0
2012-03-18,30.0,20.0,24.3,75.0,0.0
2012-03-19,27.4,19.8,23.3,78.0,0.0
2012-03-20,25.6,19.0,21.9,74.0,0.0
2012-03-21,25.6,19.0,21.3,79.0,0.0
2012-03-22,27.6,18.6,22.3,68.0,0.0
2012-03-23,24.4,12.1,19.1,74.0,0.4
2012-03-24,20.9,11.3,15.0,46.0,0.2
2012-03-25,24.3,10.4,16.9,48.0,0.0
2012-03-26,25.8,9.9,17.1,53.0,0.0
2012-03-27,25.8,10.9,18.3,48.0,0.0
2012-03-28,28.1,13.8,20.2,53.0,0.0
2012-03-29,27.5,17.3,21.8,57.0,0.0
2012-03-30,25.5,18.3,22.0,69.0,0.0
2012-03-31,23.2,18.3,21.0,61.0,5.9
2012-04-01,26.0,17.1,21.1,60.0,0.0
2012-04-02,26.0,18.8,21.7,70.0,0.0
2012-04-03,28.2,21.4,24.3,77.0,0.0
2012-04-04,27.0,21.6,23.8,70.0,0.0
2012-04-05,22.9,19.8,21.1,88.0,30.7
2012-04-06,20.5,19.1,19.9,96.0,26.2
2012-04-07,21.7,17.3,19.2,88.0,2.4
2012-04-08,20.1,17.2,19.0,90.0,8.7
2012-04-09,26.7,17.9,21.1,90.0,10.7
2012-04-10,29.1,21.2,24.3,81.0,0.0
2012-04-11,30.5,22.0,24.8,81.0,0.0
2012-04-12,28.8,22.0,25.2,81.0,0.0
2012-04-13,28.7,21.3,24.6,87.0,71.4
2012-04-14,29.4,21.9,25.0,89.0,1.1
2012-04-15,28.7,24.7,26.1,84.0,0.0
2012-04-16,29.0,22.9,25.3,90.0,4.7
2012-04-17,23.2,20.5,22.3,91.0,17.5
2012-04-18,23.1,20.6,21.3,90.0,3.4
2012-04-19,22.6,20.7,21.7,96.0,36.3
2012-04-20,21.9,20.7,21.2,97.0,40.2
2012-04-21,28.5,19.9,23.1,81.0,0.0
2012-04-22,30.5,21.0,24.7,69.0,0.0
2012-04-23,27.9,22.6,24.5,79.0,1.7
2012-04-24,28.4,22.7,26.1,85.0,3.7
2012-04-25,29.3,23.5,26.9,87.0,10.2
2012-04-26,28.0,20.8,24.1,75.0,4.1
2012-04-27,25.6,20.3,22.7,86.0,49.3
2012-04-28,27.2,20.5,23.1,90.0,19.9
2012-04-29,29.8,22.2,26.1,87.0,16.6
2012-04-30,30.8,26.5,27.9,84.0,0.0
2012-05-01,31.0,26.8,28.5,83.0,0.0
2012-05-02,32.3,26.8,28.9,82.0,0.0
2012-05-03,30.1,23.7,26.9,89.0,76.6
2012-05-04,32.5,24.1,27.2,86.0,4.9
2012-05-05,28.3,23.1,25.6,90.0,83.5
2012-05-06,30.7,23.6,25.8,85.0,0.7
2012-05-07,30.5,23.7,26.5,81.0,0.0
2012-05-08,31.5,24.9,27.9,80.0,0.0
2012-05-09,34.0,25.5,29.2,77.0,0.0
2012-05-10,33.6,23.8,29.0,78.0,19.4
2012-05-11,29.2,24.8,26.1,89.0,13.1
2012-05-12,30.6,23.7,26.6,80.0,0.0
2012-05-13,29.6,24.7,26.5,86.0,24.8
2012-05-14,32.1,24.2,27.6,81.0,0.0
2012-05-15,32.5,25.5,28.1,82.0,4.4
2012-05-16,31.2,23.7,26.4,88.0,39.7
2012-05-17,29.5,25.1,26.8,87.0,0.2
2012-05-18,27.4,24.7,25.7,92.0,3.6
2012-05-19,31.0,23.5,25.8,89.0,8.0
2012-05-20,32.5,24.8,27.3,86.0,4.0
2012-05-21,28.6,24.4,26.3,79.0,2.2
2012-05-22,29.1,23.1,26.1,65.0,0.0
2012-05-23,31.0,23.0,26.6,64.0,0.0
2012-05-24,31.5,23.7,27.4,63.0,0.0
2012-05-25,32.0,25.1,27.9,75.0,0.0
2012-05-26,29.0,26.0,27.0,82.0,0.5
2012-05-27,31.3,25.0,26.8,85.0,17.9
2012-05-28,26.8,25.1,25.8,94.0,1.5
2012-05-29,29.2,24.5,26.5,78.0,0.1
2012-05-30,31.0,24.5,27.1,78.0,16.8
2012-05-31,28.8,24.1,25.8,86.0,13.7
2012-06-01,30.0,23.5,26.2,74.0,0.0
2012-06-02,30.6,24.5,26.7,78.0,0.1
2012-06-03,28.3,24.6,26.2,80.0,0.0
2012-06-04,31.0,24.7,27.2,78.0,0.0
2012-06-05,32.2,25.0,28.2,74.0,0.0
2012-06-06,32.9,25.5,28.8,72.0,0.0
2012-06-07,33.4,25.8,29.1,73.0,0.0
2012-06-08,33.0,26.3,29.0,76.0,0.0
2012-06-09,33.1,26.6,29.3,81.0,0.0
2012-06-10,32.0,26.6,28.9,82.0,23.0
2012-06-11,31.3,26.6,28.8,83.0,11.2
2012-06-12,31.7,25.5,27.9,86.0,9.8
2012-06-13,30.4,24.9,26.6,89.0,0.3
2012-06-14,32.2,24.2,27.4,79.0,0.0
2012-06-15,32.6,24.2,27.9,80.0,26.3
2012-06-16,29.2,24.8,26.8,87.0,2.2
2012-06-17,30.4,24.5,26.6,88.0,8.5
2012-06-18,31.6,25.0,27.9,80.0,1.8
2012-06-19,33.0,26.2,29.1,73.0,0.0
2012-06-20,35.1,26.8,30.1,70.0,0.1
2012-06-21,30.0,24.5,27.2,88.0,64.9
2012-06-22,29.2,25.0,26.3,93.0,34.8
2012-06-23,29.1,25.8,27.2,89.0,8.2
2012-06-24,29.0,24.6,26.7,91.0,48.5
2012-06-25,30.1,26.3,28.0,84.0,2.9
2012-06-26,30.2,27.3,28.2,84.0,0.6
2012-06-27,31.8,27.0,29.1,75.0,0.0
2012-06-28,33.9,25.9,28.8,76.0,0.0
2012-06-29,35.0,25.9,29.7,74.0,0.1
2012-06-30,30.8,24.8,26.9,84.0,21.6
2012-07-01,31.6,24.6,27.6,80.0,0.3
2012-07-02,32.2,26.0,28.7,74.0,0.0
2012-07-03,32.0,25.0,28.5,75.0,0.0
2012-07-04,33.4,25.2,28.5,77.0,8.6
2012-07-05,30.8,25.6,27.7,84.0,2.6
2012-07-06,31.4,25.9,27.8,84.0,0.5
2012-07-07,30.9,25.5,27.8,83.0,0.1
2012-07-08,30.9,25.5,27.8,82.0,6.7
2012-07-09,32.9,25.8,29.0,76.0,0.0
2012-07-10,32.5,26.2,29.2,76.0,0.0
2012-07-11,33.1,26.8,29.5,76.0,0.0
2012-07-12,32.7,26.5,29.5,74.0,0.0
2012-07-13,31.9,26.6,28.6,81.0,8.1
2012-07-14,33.4,26.5,29.4,78.0,0.0
2012-07-15,33.2,27.5,30.0,77.0,0.0
2012-07-16,32.2,27.2,29.7,80.0,0.0
2012-07-17,32.6,27.9,29.7,77.0,0.0
2012-07-18,32.5,25.2,29.1,81.0,2.6
2012-07-19,34.6,25.8,30.0,76.0,1.3
2012-07-20,34.4,27.5,29.9,77.0,0.0
2012-07-21,36.4,27.8,31.6,67.0,0.0
2012-07-22,33.8,25.4,28.7,81.0,18.0
2012-07-23,29.5,26.1,27.7,78.0,0.5
2012-07-24,27.7,24.6,25.8,93.0,67.6
2012-07-25,27.5,23.7,25.2,96.0,57.2
2012-07-26,25.7,23.6,24.5,98.0,3.9
2012-07-27,27.4,24.1,25.2,94.0,5.3
2012-07-28,30.9,24.7,26.5,90.0,0.3
2012-07-29,33.0,25.1,28.3,81.0,0.0
2012-07-30,34.3,25.5,29.3,75.0,0.0
2012-07-31,35.8,26.2,30.3,72.0,0.0
2012-08-01,36.0,23.1,30.3,71.0,26.5
2012-08-02,35.6,27.8,31.9,61.0,0.0
2012-08-03,33.9,28.0,30.9,63.0,0.0
2012-08-04,31.3,27.8,29.5,75.0,0.0
2012-08-05,31.0,26.2,28.5,82.0,1.8
2012-08-06,30.8,24.7,26.9,87.0,12.3
2012-08-07,34.5,25.8,29.4,79.0,0.1
2012-08-08,35.1,27.3,31.0,67.0,0.0
2012-08-09,34.2,26.7,29.8,75.0,0.2
2012-08-10,33.2,26.8,29.6,79.0,0.0
2012-08-11,32.9,25.8,28.6,82.0,0.7
2012-08-12,31.0,24.7,27.6,86.0,3.0
2012-08-13,30.3,24.3,26.4,94.0,40.7
2012-08-14,32.9,25.3,28.1,86.0,0.3
2012-08-15,34.9,25.8,30.0,75.0,0.0
2012-08-16,33.6,26.6,29.6,77.0,0.7
2012-08-17,31.3,25.4,27.7,82.0,5.1
2012-08-18,30.7,26.6,27.7,87.0,0.0
2012-08-19,34.0,25.8,28.9,82.0,0.0
2012-08-20,33.9,26.5,29.4,78.0,0.0
2012-08-21,33.6,26.2,29.4,76.0,0.0
2012-08-22,31.1,24.2,26.1,92.0,10.5
2012-08-23,33.4,24.8,28.2,79.0,0.4
2012-08-24,32.7,26.1,29.2,69.0,0.0
2012-08-25,32.8,25.9,29.0,65.0,0.0
2012-08-26,32.5,27.2,30.0,62.0,0.0
2012-08-27,35.0,26.2,30.7,57.0,0.0
2012-08-28,35.8,27.8,31.4,60.0,0.0
2012-08-29,33.4,27.0,29.5,79.0,3.2
2012-08-30,33.3,24.5,28.9,84.0,49.0
2012-08-31,32.2,25.9,28.5,83.0,5.0
2012-09-01,32.1,25.5,27.8,80.0,1.7
2012-09-02,33.2,26.0,28.8,72.0,0.0
2012-09-03,32.3,25.8,28.2,76.0,0.0
2012-09-04,32.4,25.0,28.0,79.0,8.2
2012-09-05,32.2,24.8,27.4,82.0,1.1
2012-09-06,32.4,25.9,28.5,75.0,0.9
2012-09-07,30.5,26.8,28.2,83.0,0.1
2012-09-08,33.5,25.5,28.8,79.0,0.0
2012-09-09,33.3,26.5,28.9,81.0,0.4
2012-09-10,33.8,26.2,29.1,78.0,0.0
2012-09-11,33.7,26.4,29.8,72.0,0.0
2012-09-12,32.4,25.5,28.0,80.0,17.3
2012-09-13,33.4,25.4,28.1,79.0,0.0
2012-09-14,28.3,23.3,25.1,64.0,8.0
2012-09-15,29.0,22.1,25.0,60.0,0.0
2012-09-16,29.9,21.3,25.8,57.0,0.0
2012-09-17,29.6,22.3,26.1,44.0,0.0
2012-09-18,30.0,23.9,26.7,48.0,0.0
2012-09-19,29.9,25.0,27.0,60.0,0.0
2012-09-20,30.1,24.2,26.7,71.0,0.0
2012-09-21,32.2,25.0,28.1,68.0,0.0
2012-09-22,33.6,25.8,28.7,70.0,0.0
2012-09-23,32.6,26.0,28.7,78.0,0.0
2012-09-24,33.0,24.5,27.6,87.0,74.2
2012-09-25,27.4,24.2,25.4,92.0,5.9
2012-09-26,30.0,24.4,26.6,82.0,0.0
2012-09-27,31.6,24.4,27.7,63.0,0.0
2012-09-28,30.4,24.9,27.6,52.0,0.0
2012-09-29,29.9,23.7,26.8,53.0,0.0
2012-09-30,28.8,21.8,25.5,46.0,0.0
2012-10-01,28.8,22.2,25.1,49.0,0.0
2012-10-02,29.7,21.9,25.5,62.0,0.0
2012-10-03,30.6,21.9,25.5,69.0,0.0
2012-10-04,29.9,22.5,25.8,70.0,0.0
2012-10-05,30.3,22.7,26.0,68.0,0.0
2012-10-06,30.1,22.8,26.4,67.0,0.0
2012-10-07,30.2,24.1,26.8,64.0,0.0
2012-10-08,30.5,24.0,27.2,63.0,0.0
2012-10-09,30.8,22.9,26.9,64.0,0.0
2012-10-10,29.4,23.6,26.7,49.0,0.0
2012-10-11,29.0,21.6,25.5,48.0,0.0
2012-10-12,29.7,21.6,25.4,59.0,0.0
2012-10-13,29.7,21.6,25.2,71.0,0.0
2012-10-14,30.6,22.6,26.0,74.0,0.0
2012-10-15,30.2,23.5,26.3,76.0,0.0
2012-10-16,30.4,23.6,26.3,73.0,0.0
2012-10-17,28.1,23.8,25.6,71.0,0.0
2012-10-18,25.7,20.5,23.2,47.0,0.0
2012-10-19,29.4,20.9,24.7,66.0,0.0
2012-10-20,29.8,20.9,24.9,67.0,0.0
2012-10-21,30.1,21.6,25.0,65.0,0.0
2012-10-22,30.4,20.9,25.2,66.0,0.0
2012-10-23,30.5,22.4,26.0,70.0,0.0
2012-10-24,30.0,22.4,25.8,67.0,0.0
2012-10-25,30.2,22.4,25.6,72.0,0.0
2012-10-26,27.3,21.8,24.6,74.0,3.6
2012-10-27,27.8,22.0,24.5,80.0,0.9
2012-10-28,30.8,22.7,26.0,68.0,0.0
2012-10-29,27.9,24.1,25.7,73.0,0.0
2012-10-30,26.1,20.7,23.0,93.0,14.9
2012-10-31,24.0,16.8,20.0,69.0,9.2
2012-11-01,23.3,15.5,19.6,53.0,0.0
2012-11-02,25.7,16.0,20.6,63.0,0.0
2012-11-03,28.4,19.6,22.7,69.0,0.0
2012-11-04,26.0,20.6,23.2,64.0,0.0
2012-11-05,25.0,18.9,22.0,56.0,0.2
2012-11-06,26.7,19.5,23.0,50.0,0.0
2012-11-07,25.8,20.1,22.9,66.0,0.0
2012-11-08,26.8,20.8,23.4,73.0,0.0
2012-11-09,29.1,22.3,25.1,78.0,0.0
2012-11-10,30.1,22.4,25.8,78.0,0.0
2012-11-11,25.6,17.1,19.8,80.0,26.8
2012-11-12,20.6,17.0,18.5,68.0,0.0
2012-11-13,26.5,17.7,21.7,71.0,0.0
2012-11-14,26.7,20.3,22.7,80.0,0.0
2012-11-15,27.3,19.9,23.2,69.0,0.0
2012-11-16,25.5,21.8,23.5,74.0,0.2
2012-11-17,24.2,16.5,19.3,78.0,10.5
2012-11-18,19.9,17.1,18.4,68.0,0.0
2012-11-19,25.7,17.7,21.2,72.0,0.0
2012-11-20,22.4,19.3,20.8,80.0,0.7
2012-11-21,24.1,19.9,21.8,87.0,0.2
2012-11-22,28.5,21.8,24.6,87.0,0.1
2012-11-23,25.7,18.9,22.2,80.0,16.5
2012-11-24,18.9,13.5,15.3,89.0,19.8
2012-11-25,21.3,16.0,18.6,94.0,0.4
2012-11-26,20.8,13.6,17.7,97.0,5.9
2012-11-27,13.0,10.8,11.9,96.0,22.2
2012-11-28,15.7,12.8,14.4,96.0,1.4
2012-11-29,19.4,15.7,17.0,95.0,34.8
2012-11-30,18.4,16.8,17.6,99.0,19.4
2012-12-01,18.6,16.3,17.1,97.0,0.3
2012-12-02,18.0,13.8,15.7,92.0,10.0
2012-12-03,16.1,12.8,14.0,94.0,
2012-12-04,15.1,11.9,13.2,85.0,3.0
2012-12-05,15.3,13.2,14.0,88.0,9.6
2012-12-06,17.6,11.3,14.7,65.0,0.1
2012-12-07,21.9,14.5,17.8,65.0,0.0
2012-12-08,21.7,16.7,19.0,65.0,0.0
2012-12-09,22.0,14.8,18.4,63.0,0.0
2012-12-10,21.6,15.7,18.1,71.0,0.0
2012-12-11,18.9,14.9,16.6,74.0,0.0
2012-12-12,17.7,12.6,14.7,71.0,0.0
2012-12-13,22.8,14.9,17.6,71.0,0.0
2012-12-14,26.2,16.4,20.5,77.0,0.0
2012-12-15,27.2,18.8,22.1,83.0,0.0
2012-12-16,28.2,20.2,23.1,83.0,0.0
2012-12-17,24.2,20.6,21.7,87.0,2.9
2012-12-18,21.0,12.7,16.2,82.0,3.8
2012-12-19,13.8,9.5,11.6,70.0,0.0
2012-12-20,20.3,13.2,15.9,80.0,0.0
2012-12-21,24.5,17.8,20.1,85.0,0.0
2012-12-22,17.8,12.0,14.5,80.0,0.0
2012-12-23,14.0,9.1,11.2,56.0,0.0
2012-12-24,14.9,5.8,9.7,59.0,0.0
2012-12-25,18.5,9.5,13.6,66.0,0.0
2012-12-26,20.3,15.1,17.4,65.0,0.0
2012-12-27,18.1,14.0,15.2,85.0,0.7
2012-12-28,22.6,14.3,17.6,77.0,0.0
2012-12-29,22.3,10.2,18.3,80.0,0.4
